[('white', 'JJ'), ('ball', 'NN')]
Color:      white
Shape:      ball
1
         5475630 function calls (5471395 primitive calls) in 1.842 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(PhraseTableEntry)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:112(PIProxy)
        1    0.000    0.000    0.000    0.000 <string>:14(CommentProxy)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:22(ElementTree)
        1    0.000    0.000    0.000    0.000 <string>:65(iterparse)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:237(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:104(_SimpleElementPath)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1205(_IterParseIterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1365(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:138(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1455(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:171(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:580(QName)
        1    0.000    0.000    0.001    0.001 ElementTree.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:605(ElementTree)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:129(Event)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1476(CallWrapper)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1496(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1517(YView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1538(Wm)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1743(Tk)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1868(Pack)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1913(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1963(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:201(Variable)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2016(BaseWidget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2072(Widget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2079(Toplevel)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2107(Button)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2186(Canvas)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2427(Checkbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2456(Entry)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2521(Frame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2539(Label)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2561(Listbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2655(Menu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2776(Menubutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2781(Message)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2786(Radiobutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:279(StringVar)
